Measure_seaMeanlevel,date,Value_seaMeanlevel
Persian Gulf,2010-09-08,110.5
Sea Japan,2010-09-08,119.6
Sea Okhotsk,2010-09-08,1.29
South China,2010-09-08,59.31
Southern Ocean,2010-09-08,11.62
Tropics,2010-09-08,28.95
World,2010-09-08,29.83
Adriatic Sea,2010-09-09,69.31
Caribbean Sea,2010-09-09,83.01
North Atlantic,2010-09-09,74.72
Yellow Sea,2010-09-09,115.88
Adriatic Sea,2010-09-13,84.59
Andaman Sea,2010-09-13,128.15
Arabian Sea,2010-09-13,-11.36
Atlantic Ocean,2010-09-13,52.4
Baltic Sea,2010-09-13,-44.16
Bay Bengal,2010-09-13,53.9
Bering Sea,2010-09-13,42.06
Caribbean Sea,2010-09-13,69.87
Gulf Mexico,2010-09-13,92.58
Indian Ocean,2010-09-13,32.95
Indonesian,2010-09-13,82.47
Mediterranean,2010-09-13,110.18
Nino,2010-09-13,10.14
North Atlantic,2010-09-13,77.32
North Pacific,2010-09-13,62.67
Pacific Ocean,2010-09-13,13.41
Persian Gulf,2010-09-13,64.24
Sea Japan,2010-09-13,144.19
Sea Okhotsk,2010-09-13,6.06
South China,2010-09-13,29.85
Southern Ocean,2010-09-13,11.43
Tropics,2010-09-13,29.19
World,2010-09-13,30.23
North Sea,2010-09-14,74.4
Yellow Sea,2010-09-14,95.38
Baltic Sea,2010-09-17,-38.64
Andaman Sea,2010-09-18,91.11
Arabian Sea,2010-09-18,-4.66
Atlantic Ocean,2010-09-18,53.71
Bay Bengal,2010-09-18,73.74
Bering Sea,2010-09-18,19.08
Gulf Mexico,2010-09-18,83.31
Indian Ocean,2010-09-18,38.36
Indonesian,2010-09-18,85.87
Mediterranean,2010-09-18,121.69
Nino,2010-09-18,10.11
North Atlantic,2010-09-18,81.02
North Pacific,2010-09-18,57.58
North Sea,2010-09-18,102.76
Pacific Ocean,2010-09-18,10.58
Persian Gulf,2010-09-18,128.1
Sea Japan,2010-09-18,108.6
Sea Okhotsk,2010-09-18,11.09
South China,2010-09-18,64.51
Southern Ocean,2010-09-18,12.52
Tropics,2010-09-18,30.25
World,2010-09-18,30.43
Adriatic Sea,2010-09-19,57.31
Caribbean Sea,2010-09-19,87.01
Yellow Sea,2010-09-19,114.38
Adriatic Sea,2010-09-23,100.99
Andaman Sea,2010-09-23,51.45
Arabian Sea,2010-09-23,-0.56
Atlantic Ocean,2010-09-23,53.6
Baltic Sea,2010-09-23,109.64
Bay Bengal,2010-09-23,80.3
Bering Sea,2010-09-23,14.96
Gulf Mexico,2010-09-23,77.08
Indian Ocean,2010-09-23,37.65
Indonesian,2010-09-23,90.77
Mediterranean,2010-09-23,118.18
Nino,2010-09-23,12.44
North Atlantic,2010-09-23,82.02
North Pacific,2010-09-23,70.17
North Sea,2010-09-23,95.1
Pacific Ocean,2010-09-23,10.21
Persian Gulf,2010-09-23,101.14
Sea Japan,2010-09-23,104.99
Sea Okhotsk,2010-09-23,23.56
South China,2010-09-23,78.85
Southern Ocean,2010-09-23,11.73
Tropics,2010-09-23,28.69
World,2010-09-23,30.93
Yellow Sea,2010-09-23,119.38
Caribbean Sea,2010-09-24,71.07
Baltic Sea,2010-09-27,108.76
Sea Okhotsk,2010-09-27,24.39
Andaman Sea,2010-09-28,138.21
Arabian Sea,2010-09-28,-12.36
Atlantic Ocean,2010-09-28,46.01
Bay Bengal,2010-09-28,78.04
Bering Sea,2010-09-28,-8.02
Caribbean Sea,2010-09-28,66.61
Gulf Mexico,2010-09-28,56.71
Indian Ocean,2010-09-28,30.46
Indonesian,2010-09-28,106.07
Mediterranean,2010-09-28,127.79
Nino,2010-09-28,18.61
North Atlantic,2010-09-28,72.42
North Pacific,2010-09-28,69.38
North Sea,2010-09-28,24.76
Pacific Ocean,2010-09-28,16.28
Persian Gulf,2010-09-28,124.0
Sea Japan,2010-09-28,102.7
South China,2010-09-28,104.51
Southern Ocean,2010-09-28,8.02
Tropics,2010-09-28,31.75
World,2010-09-28,30.53
Yellow Sea,2010-09-28,105.38
Adriatic Sea,2010-09-29,93.71
Adriatic Sea,2010-10-02,105.69
South China,2010-10-02,123.15
Andaman Sea,2010-10-03,133.15
Arabian Sea,2010-10-03,-13.66
Atlantic Ocean,2010-10-03,40.2
Baltic Sea,2010-10-03,-3.16
Bay Bengal,2010-10-03,82.3
Bering Sea,2010-10-03,-13.64
Caribbean Sea,2010-10-03,48.37
Gulf Mexico,2010-10-03,60.78
Indian Ocean,2010-10-03,21.55
Indonesian,2010-10-03,105.77
Mediterranean,2010-10-03,128.68
Nino,2010-10-03,19.14
North Atlantic,2010-10-03,63.02
North Pacific,2010-10-03,78.47
Pacific Ocean,2010-10-03,20.51
Persian Gulf,2010-10-03,141.94
Sea Japan,2010-10-03,139.69
Sea Okhotsk,2010-10-03,38.16
Southern Ocean,2010-10-03,6.83
Tropics,2010-10-03,31.89
World,2010-10-03,30.43
Yellow Sea,2010-10-03,94.78
North Sea,2010-10-04,28.4
Andaman Sea,2010-10-07,169.41
Baltic Sea,2010-10-07,-67.64
Persian Gulf,2010-10-07,128.1
Arabian Sea,2010-10-08,-31.26
Atlantic Ocean,2010-10-08,40.91
Bay Bengal,2010-10-08,75.24
Bering Sea,2010-10-08,4.68
Caribbean Sea,2010-10-08,58.51
Gulf Mexico,2010-10-08,47.91
Indian Ocean,2010-10-08,17.16
Indonesian,2010-10-08,133.37
Mediterranean,2010-10-08,111.39
Nino,2010-10-08,23.61
North Atlantic,2010-10-08,65.02
North Pacific,2010-10-08,84.08
North Sea,2010-10-08,108.36
Pacific Ocean,2010-10-08,24.98
Sea Japan,2010-10-08,139.6
Sea Okhotsk,2010-10-08,34.69
South China,2010-10-08,124.01
Southern Ocean,2010-10-08,3.02
Tropics,2010-10-08,36.25
World,2010-10-08,32.33
Yellow Sea,2010-10-08,119.48
Adriatic Sea,2010-10-09,66.71
South China,2010-10-12,97.65
Adriatic Sea,2010-10-13,117.39
Andaman Sea,2010-10-13,226.05
Arabian Sea,2010-10-13,-35.66
Atlantic Ocean,2010-10-13,54.5
Bay Bengal,2010-10-13,107.7
Bering Sea,2010-10-13,7.16
Caribbean Sea,2010-10-13,74.37
Gulf Mexico,2010-10-13,77.48
Indian Ocean,2010-10-13,21.15
Indonesian,2010-10-13,135.57
Mediterranean,2010-10-13,135.18
Nino,2010-10-13,25.64
North Atlantic,2010-10-13,76.22
North Pacific,2010-10-13,76.67
North Sea,2010-10-13,138.3
Pacific Ocean,2010-10-13,16.61
Persian Gulf,2010-10-13,95.64
Sea Japan,2010-10-13,144.19
Sea Okhotsk,2010-10-13,15.96
Southern Ocean,2010-10-13,1.33
Tropics,2010-10-13,36.89
World,2010-10-13,33.23
Yellow Sea,2010-10-13,128.38
North Sea,2010-10-17,143.76
Andaman Sea,2010-10-18,225.51
Arabian Sea,2010-10-18,-30.66
Atlantic Ocean,2010-10-18,53.41
Bay Bengal,2010-10-18,85.34
Bering Sea,2010-10-18,-2.52
Caribbean Sea,2010-10-18,60.61
Gulf Mexico,2010-10-18,70.71
Indian Ocean,2010-10-18,31.06
Indonesian,2010-10-18,141.97
Mediterranean,2010-10-18,148.49
Nino,2010-10-18,26.21
North Atlantic,2010-10-18,73.92
North Pacific,2010-10-18,79.88
Pacific Ocean,2010-10-18,19.98
Persian Gulf,2010-10-18,94.3
Sea Japan,2010-10-18,123.3
Sea Okhotsk,2010-10-18,10.09
South China,2010-10-18,123.01
Southern Ocean,2010-10-18,9.32
Tropics,2010-10-18,37.95
World,2010-10-18,35.93
Yellow Sea,2010-10-18,134.08
Adriatic Sea,2010-10-19,125.21
Adriatic Sea,2010-10-22,177.29
Arabian Sea,2010-10-22,-27.86
Bay Bengal,2010-10-22,79.4
Indonesian,2010-10-22,144.07
Persian Gulf,2010-10-22,39.14
South China,2010-10-22,187.25
Andaman Sea,2010-10-23,215.25
Atlantic Ocean,2010-10-23,52.9
Baltic Sea,2010-10-23,-32.76
Bering Sea,2010-10-23,-15.04
Caribbean Sea,2010-10-23,52.57
Gulf Mexico,2010-10-23,60.18
Indian Ocean,2010-10-23,34.35
Mediterranean,2010-10-23,156.08
Nino,2010-10-23,31.74
North Atlantic,2010-10-23,65.92
North Pacific,2010-10-23,79.17
North Sea,2010-10-23,152.8
Pacific Ocean,2010-10-23,19.41
Sea Japan,2010-10-23,128.29
Sea Okhotsk,2010-10-23,-7.54
Southern Ocean,2010-10-23,12.63
Tropics,2010-10-23,38.59
World,2010-10-23,37.23
Yellow Sea,2010-10-23,155.38
Andaman Sea,2010-10-27,168.21
Baltic Sea,2010-10-27,32.96
Bay Bengal,2010-10-27,89.04
North Sea,2010-10-27,146.26
Persian Gulf,2010-10-27,73.8
Sea Okhotsk,2010-10-27,-5.41
Arabian Sea,2010-10-28,-27.16
Atlantic Ocean,2010-10-28,36.11
Bering Sea,2010-10-28,-21.12
Caribbean Sea,2010-10-28,22.71
Gulf Mexico,2010-10-28,15.01
Indian Ocean,2010-10-28,42.36
Indonesian,2010-10-28,157.87
Mediterranean,2010-10-28,119.99
Nino,2010-10-28,30.51
North Atlantic,2010-10-28,47.12
North Pacific,2010-10-28,72.98
Pacific Ocean,2010-10-28,21.28
Sea Japan,2010-10-28,133.5
South China,2010-10-28,176.31
Southern Ocean,2010-10-28,14.92
Tropics,2010-10-28,35.75
World,2010-10-28,34.13
Yellow Sea,2010-10-28,146.78
Adriatic Sea,2010-10-30,67.41
Adriatic Sea,2010-11-01,110.79
Bay Bengal,2010-11-01,88.5
Mediterranean,2010-11-01,104.18
Persian Gulf,2010-11-01,126.24
Sea Japan,2010-11-01,139.29
South China,2010-11-01,226.45
Andaman Sea,2010-11-02,156.75
Arabian Sea,2010-11-02,-5.96
Atlantic Ocean,2010-11-02,28.1
Baltic Sea,2010-11-02,98.04
Bering Sea,2010-11-02,-21.04
Caribbean Sea,2010-11-02,15.97
Gulf Mexico,2010-11-02,6.68
Indian Ocean,2010-11-02,52.75
Indonesian,2010-11-02,174.47
Nino,2010-11-02,33.64
North Atlantic,2010-11-02,39.42
North Pacific,2010-11-02,75.97
North Sea,2010-11-02,113.4
Pacific Ocean,2010-11-02,24.01
Sea Okhotsk,2010-11-02,-15.04
Southern Ocean,2010-11-02,18.93
Tropics,2010-11-02,38.59
World,2010-11-02,36.63
Yellow Sea,2010-11-02,130.78
Andaman Sea,2010-11-06,153.31
Baltic Sea,2010-11-06,108.96
Mediterranean,2010-11-06,70.49
North Sea,2010-11-06,48.06
Sea Japan,2010-11-06,163.5
Sea Okhotsk,2010-11-06,-10.91
Arabian Sea,2010-11-07,-9.96
Atlantic Ocean,2010-11-07,21.71
Bay Bengal,2010-11-07,78.84
Bering Sea,2010-11-07,7.08
Caribbean Sea,2010-11-07,8.81
Gulf Mexico,2010-11-07,9.61
Indian Ocean,2010-11-07,46.36
Indonesian,2010-11-07,191.27
Nino,2010-11-07,30.11
North Atlantic,2010-11-07,34.72
North Pacific,2010-11-07,70.88
Pacific Ocean,2010-11-07,25.08
Persian Gulf,2010-11-07,122.7
South China,2010-11-07,180.11
Southern Ocean,2010-11-07,17.72
Tropics,2010-11-07,35.05
World,2010-11-07,32.93
Yellow Sea,2010-11-07,103.08
Adriatic Sea,2010-11-08,88.01
Adriatic Sea,2010-11-11,150.49
Arabian Sea,2010-11-11,6.34
Baltic Sea,2010-11-11,123.24
Bay Bengal,2010-11-11,80.9
Gulf Mexico,2010-11-11,26.58
Indonesian,2010-11-11,177.27
Mediterranean,2010-11-11,112.48
Sea Japan,2010-11-11,129.29
South China,2010-11-11,174.55
Andaman Sea,2010-11-12,172.75
Atlantic Ocean,2010-11-12,33.6
Bering Sea,2010-11-12,61.66
Caribbean Sea,2010-11-12,39.67
Indian Ocean,2010-11-12,39.55
Nino,2010-11-12,32.34
North Atlantic,2010-11-12,54.82
North Pacific,2010-11-12,72.47
North Sea,2010-11-12,11.7
Pacific Ocean,2010-11-12,19.71
Persian Gulf,2010-11-12,174.64
Sea Okhotsk,2010-11-12,33.16
Southern Ocean,2010-11-12,15.23
Tropics,2010-11-12,34.79
World,2010-11-12,33.93
Yellow Sea,2010-11-12,69.98
Andaman Sea,2010-11-16,118.51
Baltic Sea,2010-11-16,139.46
Indonesian,2010-11-16,194.47
Mediterranean,2010-11-16,158.79
North Sea,2010-11-16,21.96
Persian Gulf,2010-11-16,239.6
Sea Japan,2010-11-16,116.3
Sea Okhotsk,2010-11-16,47.69
South China,2010-11-16,146.21
Arabian Sea,2010-11-17,1.34
Atlantic Ocean,2010-11-17,37.91
Bay Bengal,2010-11-17,84.44
Bering Sea,2010-11-17,67.78
Caribbean Sea,2010-11-17,32.21
Gulf Mexico,2010-11-17,50.11
Indian Ocean,2010-11-17,40.06
Nino,2010-11-17,29.51
North Atlantic,2010-11-17,45.02
North Pacific,2010-11-17,59.58
Pacific Ocean,2010-11-17,16.88
Southern Ocean,2010-11-17,22.32
Tropics,2010-11-17,32.35
World,2010-11-17,33.53
Yellow Sea,2010-11-17,56.48
Adriatic Sea,2010-11-18,193.61
Adriatic Sea,2010-11-21,192.19
Andaman Sea,2010-11-21,99.95
Arabian Sea,2010-11-21,15.14
Baltic Sea,2010-11-21,90.14
Bay Bengal,2010-11-21,93.1
Bering Sea,2010-11-21,59.36
Gulf Mexico,2010-11-21,44.68
Indonesian,2010-11-21,175.97
Mediterranean,2010-11-21,166.38
Persian Gulf,2010-11-21,161.24
Sea Japan,2010-11-21,129.09
South China,2010-11-21,149.85
Atlantic Ocean,2010-11-22,33.1
Caribbean Sea,2010-11-22,29.27
Indian Ocean,2010-11-22,34.85
Nino,2010-11-22,24.64
North Atlantic,2010-11-22,41.42
North Pacific,2010-11-22,58.67
North Sea,2010-11-22,-14.8
Pacific Ocean,2010-11-22,10.61
Sea Okhotsk,2010-11-22,65.96
Southern Ocean,2010-11-22,15.63
Tropics,2010-11-22,27.79
World,2010-11-22,29.33
Yellow Sea,2010-11-22,84.78
Andaman Sea,2010-11-26,152.61
Baltic Sea,2010-11-26,28.36
Bay Bengal,2010-11-26,81.74
Indian Ocean,2010-11-26,41.66
Mediterranean,2010-11-26,150.79
North Sea,2010-11-26,-56.94
Persian Gulf,2010-11-26,131.5
Sea Japan,2010-11-26,89.9
Sea Okhotsk,2010-11-26,20.19
South China,2010-11-26,145.61
Adriatic Sea,2010-11-27,136.21
Arabian Sea,2010-11-27,4.04
Atlantic Ocean,2010-11-27,32.61
Bering Sea,2010-11-27,-5.02
Caribbean Sea,2010-11-27,23.41
Gulf Mexico,2010-11-27,23.71
Indonesian,2010-11-27,189.97
Nino,2010-11-27,21.41
North Atlantic,2010-11-27,31.52
North Pacific,2010-11-27,42.18
Pacific Ocean,2010-11-27,11.18
Southern Ocean,2010-11-27,27.52
Tropics,2010-11-27,25.05
World,2010-11-27,28.53
Yellow Sea,2010-11-27,57.68
Adriatic Sea,2010-12-01,207.49
Andaman Sea,2010-12-01,151.45
Arabian Sea,2010-12-01,2.84
Bay Bengal,2010-12-01,97.2
Bering Sea,2010-12-01,-36.84
Gulf Mexico,2010-12-01,-3.02
Indian Ocean,2010-12-01,41.55
Indonesian,2010-12-01,182.87
Mediterranean,2010-12-01,163.48
Nino,2010-12-01,19.34
Pacific Ocean,2010-12-01,8.71
Persian Gulf,2010-12-01,129.74
Sea Japan,2010-12-01,91.69
Sea Okhotsk,2010-12-01,27.26
South China,2010-12-01,156.55
Southern Ocean,2010-12-01,30.23
Tropics,2010-12-01,22.59
World,2010-12-01,27.03
Atlantic Ocean,2010-12-02,30.7
Caribbean Sea,2010-12-02,10.47
North Atlantic,2010-12-02,17.12
North Pacific,2010-12-02,41.77
North Sea,2010-12-02,-71.0
Yellow Sea,2010-12-02,20.68
Andaman Sea,2010-12-06,223.61
Arabian Sea,2010-12-06,-7.36
Bay Bengal,2010-12-06,67.94
Bering Sea,2010-12-06,-47.12
Gulf Mexico,2010-12-06,-2.39
Indian Ocean,2010-12-06,42.66
Indonesian,2010-12-06,189.67
Mediterranean,2010-12-06,147.19
Nino,2010-12-06,18.91
North Pacific,2010-12-06,33.38
North Sea,2010-12-06,48.36
Pacific Ocean,2010-12-06,13.68
Persian Gulf,2010-12-06,114.5
Sea Japan,2010-12-06,52.8
Sea Okhotsk,2010-12-06,3.79
South China,2010-12-06,134.51
Southern Ocean,2010-12-06,36.42
Tropics,2010-12-06,24.35
World,2010-12-06,28.73
Adriatic Sea,2010-12-07,165.71
Atlantic Ocean,2010-12-07,31.81
Caribbean Sea,2010-12-07,5.01
North Atlantic,2010-12-07,13.62
Yellow Sea,2010-12-07,-4.82
Adriatic Sea,2010-12-11,108.69
Andaman Sea,2010-12-11,150.65
Arabian Sea,2010-12-11,-25.66
Atlantic Ocean,2010-12-11,33.1
Bay Bengal,2010-12-11,94.8
Bering Sea,2010-12-11,-19.84
Gulf Mexico,2010-12-11,-45.32
Indian Ocean,2010-12-11,34.55
Indonesian,2010-12-11,197.27
Mediterranean,2010-12-11,123.98
Nino,2010-12-11,23.74
North Pacific,2010-12-11,25.47
Pacific Ocean,2010-12-11,17.21
Sea Japan,2010-12-11,19.79
Sea Okhotsk,2010-12-11,10.26
South China,2010-12-11,112.95
Southern Ocean,2010-12-11,38.63
Tropics,2010-12-11,26.59
World,2010-12-11,28.93
Yellow Sea,2010-12-11,-22.92
Caribbean Sea,2010-12-12,10.57
North Atlantic,2010-12-12,-2.38
North Sea,2010-12-12,93.0
Persian Gulf,2010-12-12,87.94
Baltic Sea,2010-12-15,-64.64
Andaman Sea,2010-12-16,145.31
Arabian Sea,2010-12-16,-13.56
Bay Bengal,2010-12-16,80.84
Bering Sea,2010-12-16,9.78
Gulf Mexico,2010-12-16,-37.89
Indian Ocean,2010-12-16,32.96
Mediterranean,2010-12-16,76.69
Nino,2010-12-16,19.71
North Pacific,2010-12-16,21.98
North Sea,2010-12-16,63.56
Pacific Ocean,2010-12-16,16.28
Persian Gulf,2010-12-16,76.2
Sea Japan,2010-12-16,-9.9
Sea Okhotsk,2010-12-16,-1.21
South China,2010-12-16,99.91
Southern Ocean,2010-12-16,37.52
Tropics,2010-12-16,25.05
World,2010-12-16,27.23
Adriatic Sea,2010-12-17,67.21
Atlantic Ocean,2010-12-17,33.81
Caribbean Sea,2010-12-17,6.61
Indonesian,2010-12-17,198.67
North Atlantic,2010-12-17,0.42
Yellow Sea,2010-12-17,-41.02
Adriatic Sea,2010-12-21,144.49
Andaman Sea,2010-12-21,147.25
Arabian Sea,2010-12-21,-12.86
Atlantic Ocean,2010-12-21,29.9
Baltic Sea,2010-12-21,-43.16
Bay Bengal,2010-12-21,97.0
Bering Sea,2010-12-21,20.36
Caribbean Sea,2010-12-21,-1.53
Gulf Mexico,2010-12-21,-60.22
Indian Ocean,2010-12-21,39.65
Indonesian,2010-12-21,215.97
Mediterranean,2010-12-21,91.18
Nino,2010-12-21,26.04
North Atlantic,2010-12-21,-4.18
North Pacific,2010-12-21,23.67
Pacific Ocean,2010-12-21,17.71
Persian Gulf,2010-12-21,32.84
Sea Japan,2010-12-21,5.29
Sea Okhotsk,2010-12-21,24.06
South China,2010-12-21,145.25
Southern Ocean,2010-12-21,41.03
Tropics,2010-12-21,27.59
World,2010-12-21,29.63
Yellow Sea,2010-12-21,-70.22
North Sea,2010-12-22,-31.0
Baltic Sea,2010-12-25,-58.84
Andaman Sea,2010-12-26,88.21
Arabian Sea,2010-12-26,0.34
Atlantic Ocean,2010-12-26,28.91
Bay Bengal,2010-12-26,101.24
Bering Sea,2010-12-26,27.28
Gulf Mexico,2010-12-26,-35.69
Indian Ocean,2010-12-26,40.66
Indonesian,2010-12-26,218.17
Mediterranean,2010-12-26,109.29
Nino,2010-12-26,18.11
North Pacific,2010-12-26,15.18
North Sea,2010-12-26,4.66
Pacific Ocean,2010-12-26,17.08
Persian Gulf,2010-12-26,124.0
Sea Japan,2010-12-26,-33.6
Sea Okhotsk,2010-12-26,39.39
South China,2010-12-26,104.51
Southern Ocean,2010-12-26,43.02
Tropics,2010-12-26,26.35
World,2010-12-26,28.43
Adriatic Sea,2010-12-27,155.21
Caribbean Sea,2010-12-27,-14.69
North Atlantic,2010-12-27,-11.38
Adriatic Sea,2010-12-30,122.89
Andaman Sea,2010-12-31,106.15
Arabian Sea,2010-12-31,-4.56
Atlantic Ocean,2010-12-31,26.3
Baltic Sea,2010-12-31,-80.26
Bay Bengal,2010-12-31,88.2
Bering Sea,2010-12-31,31.66
Gulf Mexico,2010-12-31,-52.22
Indian Ocean,2010-12-31,34.55
Indonesian,2010-12-31,224.17
Mediterranean,2010-12-31,113.08
Nino,2010-12-31,21.54
North Atlantic,2010-12-31,-10.08
North Pacific,2010-12-31,18.47
Pacific Ocean,2010-12-31,17.61
Persian Gulf,2010-12-31,133.34
Sea Japan,2010-12-31,-37.81
Sea Okhotsk,2010-12-31,64.56
South China,2010-12-31,139.65
Southern Ocean,2010-12-31,40.63
Tropics,2010-12-31,26.59
World,2010-12-31,28.33
Caribbean Sea,2011-01-01,-4.73
North Sea,2011-01-01,39.8
Andaman Sea,2011-01-05,120.21
Arabian Sea,2011-01-05,-17.56
Atlantic Ocean,2011-01-05,28.11
Bay Bengal,2011-01-05,86.04
Bering Sea,2011-01-05,27.48
Gulf Mexico,2011-01-05,-39.39
Indian Ocean,2011-01-05,24.36
Indonesian,2011-01-05,215.17
Mediterranean,2011-01-05,66.19
Nino,2011-01-05,16.51
North Atlantic,2011-01-05,-8.48
North Pacific,2011-01-05,9.48
North Sea,2011-01-05,5.96
Pacific Ocean,2011-01-05,16.58
Persian Gulf,2011-01-05,118.6
Sea Japan,2011-01-05,-25.7
Sea Okhotsk,2011-01-05,18.29
South China,2011-01-05,119.21
Southern Ocean,2011-01-05,38.42
Tropics,2011-01-05,23.75
World,2011-01-05,24.93
Adriatic Sea,2011-01-06,89.91
Caribbean Sea,2011-01-06,3.51
Yellow Sea,2011-01-06,-75.62
Sea Japan,2011-01-09,-25.91
Adriatic Sea,2011-01-10,87.89
Andaman Sea,2011-01-10,112.75
Arabian Sea,2011-01-10,-22.36
Atlantic Ocean,2011-01-10,28.3
Baltic Sea,2011-01-10,-50.26
Bay Bengal,2011-01-10,85.4
Bering Sea,2011-01-10,64.76
Caribbean Sea,2011-01-10,4.47
Gulf Mexico,2011-01-10,-52.02
Indian Ocean,2011-01-10,18.65
Indonesian,2011-01-10,222.47
Mediterranean,2011-01-10,58.88
Nino,2011-01-10,17.54
North Atlantic,2011-01-10,-1.38
North Pacific,2011-01-10,-1.93
North Sea,2011-01-10,11.4
Pacific Ocean,2011-01-10,13.51
Persian Gulf,2011-01-10,51.64
Sea Okhotsk,2011-01-10,20.16
South China,2011-01-10,154.95
Southern Ocean,2011-01-10,38.33
Tropics,2011-01-10,21.99
World,2011-01-10,23.73
Yellow Sea,2011-01-10,-70.62
Baltic Sea,2011-01-14,-5.04
Bering Sea,2011-01-14,65.48
Persian Gulf,2011-01-14,49.7
Andaman Sea,2011-01-15,74.81
Arabian Sea,2011-01-15,-28.46
Atlantic Ocean,2011-01-15,35.91
Bay Bengal,2011-01-15,70.54
Caribbean Sea,2011-01-15,9.61
Gulf Mexico,2011-01-15,-50.29
Indian Ocean,2011-01-15,15.96
Indonesian,2011-01-15,227.97
Mediterranean,2011-01-15,44.39
Nino,2011-01-15,17.41
North Atlantic,2011-01-15,3.82
North Pacific,2011-01-15,-15.02
North Sea,2011-01-15,27.66
Pacific Ocean,2011-01-15,12.78
Sea Japan,2011-01-15,-36.7
Sea Okhotsk,2011-01-15,35.49
South China,2011-01-15,117.61
Southern Ocean,2011-01-15,39.62
Tropics,2011-01-15,22.45
World,2011-01-15,23.23
Adriatic Sea,2011-01-16,84.11
Yellow Sea,2011-01-16,-96.02
Adriatic Sea,2011-01-19,38.49
Andaman Sea,2011-01-20,79.05
Arabian Sea,2011-01-20,-20.16
Atlantic Ocean,2011-01-20,21.9
Baltic Sea,2011-01-20,54.24
Bay Bengal,2011-01-20,69.9
Bering Sea,2011-01-20,47.26
Caribbean Sea,2011-01-20,-1.33
Gulf Mexico,2011-01-20,-59.82
Indian Ocean,2011-01-20,12.95
Indonesian,2011-01-20,224.67
Mediterranean,2011-01-20,5.88
Nino,2011-01-20,24.14
North Atlantic,2011-01-20,-8.18
North Pacific,2011-01-20,1.87
North Sea,2011-01-20,72.0
Pacific Ocean,2011-01-20,16.41
Persian Gulf,2011-01-20,56.44
Sea Japan,2011-01-20,-20.31
Sea Okhotsk,2011-01-20,96.86
South China,2011-01-20,148.65
Southern Ocean,2011-01-20,32.33
Tropics,2011-01-20,24.09
World,2011-01-20,22.33
Yellow Sea,2011-01-20,-55.62
Baltic Sea,2011-01-24,56.16
Sea Okhotsk,2011-01-24,96.19
Andaman Sea,2011-01-25,48.41
Arabian Sea,2011-01-25,5.24
Atlantic Ocean,2011-01-25,18.61
Bay Bengal,2011-01-25,63.04
Bering Sea,2011-01-25,16.38
Caribbean Sea,2011-01-25,-2.99
Gulf Mexico,2011-01-25,-74.39
Indian Ocean,2011-01-25,31.86
Indonesian,2011-01-25,238.57
Mediterranean,2011-01-25,-45.61
Nino,2011-01-25,26.81
North Atlantic,2011-01-25,-31.68
North Pacific,2011-01-25,-6.12
North Sea,2011-01-25,58.06
Pacific Ocean,2011-01-25,17.28
Persian Gulf,2011-01-25,60.3
Sea Japan,2011-01-25,-23.5
South China,2011-01-25,125.51
Southern Ocean,2011-01-25,45.02
Tropics,2011-01-25,25.15
World,2011-01-25,24.03
Yellow Sea,2011-01-25,-71.72
Adriatic Sea,2011-01-26,-11.19
South China,2011-01-29,142.45
Adriatic Sea,2011-01-30,-11.21
Andaman Sea,2011-01-30,14.45
Arabian Sea,2011-01-30,30.04
Atlantic Ocean,2011-01-30,15.8
Baltic Sea,2011-01-30,-17.86
Bay Bengal,2011-01-30,94.6
Bering Sea,2011-01-30,-0.34
Caribbean Sea,2011-01-30,-16.03
Gulf Mexico,2011-01-30,-88.92
Indian Ocean,2011-01-30,45.65
Indonesian,2011-01-30,211.87
Mediterranean,2011-01-30,-23.22
Nino,2011-01-30,29.94
North Atlantic,2011-01-30,-32.78
North Pacific,2011-01-30,-22.33
North Sea,2011-01-30,63.0
Pacific Ocean,2011-01-30,12.81
Persian Gulf,2011-01-30,120.04
Sea Japan,2011-01-30,-39.71
Sea Okhotsk,2011-01-30,36.36
Southern Ocean,2011-01-30,52.53
Tropics,2011-01-30,23.69
World,2011-01-30,24.03
Yellow Sea,2011-01-30,-70.92
Baltic Sea,2011-02-03,9.26
Persian Gulf,2011-02-03,22.8
Sea Okhotsk,2011-02-03,1.19
Adriatic Sea,2011-02-04,17.41
Andaman Sea,2011-02-04,-40.39
Arabian Sea,2011-02-04,28.84
Atlantic Ocean,2011-02-04,18.41
Bay Bengal,2011-02-04,77.64
Bering Sea,2011-02-04,-4.82
Caribbean Sea,2011-02-04,-15.09
Gulf Mexico,2011-02-04,-73.89
Indian Ocean,2011-02-04,50.06
Indonesian,2011-02-04,189.87
Mediterranean,2011-02-04,-19.71
Nino,2011-02-04,23.81
North Atlantic,2011-02-04,-28.88
North Pacific,2011-02-04,-31.42
North Sea,2011-02-04,68.86
Pacific Ocean,2011-02-04,9.68
Sea Japan,2011-02-04,-70.4
South China,2011-02-04,91.91
Southern Ocean,2011-02-04,59.62
Tropics,2011-02-04,17.15
World,2011-02-04,21.73
Yellow Sea,2011-02-05,-77.32
Adriatic Sea,2011-02-08,-26.91
Sea Japan,2011-02-08,-59.11
South China,2011-02-08,73.85
Andaman Sea,2011-02-09,-7.55
Arabian Sea,2011-02-09,22.74
Atlantic Ocean,2011-02-09,19.2
Baltic Sea,2011-02-09,131.74
Bay Bengal,2011-02-09,61.9
Bering Sea,2011-02-09,-17.54
